SettlementPoint,month,day_of_week,hr,Normalized_Hour_Average
HB_HUBAVG,1,Fri,1,0.794464963845394
HB_HUBAVG,1,Fri,2,0.743325244575279
HB_HUBAVG,1,Fri,3,0.74633634341215
HB_HUBAVG,1,Fri,4,0.76807500818566
HB_HUBAVG,1,Fri,5,0.835641128427649
HB_HUBAVG,1,Fri,6,0.98455587822186
HB_HUBAVG,1,Fri,7,1.60594386014303
HB_HUBAVG,1,Fri,8,1.41568158241812
HB_HUBAVG,1,Fri,9,1.16522180843414
HB_HUBAVG,1,Fri,10,1.09222102199877
HB_HUBAVG,1,Fri,11,1.0436762334336
HB_HUBAVG,1,Fri,12,0.972462521917678
HB_HUBAVG,1,Fri,13,0.921396244082609
HB_HUBAVG,1,Fri,14,0.89072220471188
HB_HUBAVG,1,Fri,15,0.861174267345184
HB_HUBAVG,1,Fri,16,0.846461499857707
HB_HUBAVG,1,Fri,17,0.887760066831706
HB_HUBAVG,1,Fri,18,1.30850604820818
HB_HUBAVG,1,Fri,19,1.32559342209547
HB_HUBAVG,1,Fri,20,1.0916334905184
HB_HUBAVG,1,Fri,21,1.01682114868525
HB_HUBAVG,1,Fri,22,0.973515182486666
HB_HUBAVG,1,Fri,23,0.881346181504387
HB_HUBAVG,1,Fri,24,0.827464648659235
HB_HUBAVG,1,Sat,1,0.880336756036268
HB_HUBAVG,1,Sat,2,0.815118196521803
HB_HUBAVG,1,Sat,3,0.783052615496467
HB_HUBAVG,1,Sat,4,0.777160438541497
HB_HUBAVG,1,Sat,5,0.820529895527656
HB_HUBAVG,1,Sat,6,0.888176133100821
HB_HUBAVG,1,Sat,7,1.07214861098672
HB_HUBAVG,1,Sat,8,1.18622419143253
HB_HUBAVG,1,Sat,9,1.37932575035167
HB_HUBAVG,1,Sat,10,1.32842037605829
HB_HUBAVG,1,Sat,11,1.15656100015278
HB_HUBAVG,1,Sat,12,1.06489086512373
HB_HUBAVG,1,Sat,13,0.958882256560473
HB_HUBAVG,1,Sat,14,0.89834203497163
HB_HUBAVG,1,Sat,15,0.873003145233943
HB_HUBAVG,1,Sat,16,0.855276037742807
HB_HUBAVG,1,Sat,17,0.878187249421793
HB_HUBAVG,1,Sat,18,1.18435285626228
HB_HUBAVG,1,Sat,19,1.34647623161987
HB_HUBAVG,1,Sat,20,1.11918487337404
HB_HUBAVG,1,Sat,21,1.02088920030978
HB_HUBAVG,1,Sat,22,0.966013560857906
HB_HUBAVG,1,Sat,23,0.906358430227964
HB_HUBAVG,1,Sat,24,0.841089294087276
HB_HUBAVG,1,Sun,1,0.845996879126155
HB_HUBAVG,1,Sun,2,0.770944285452558
HB_HUBAVG,1,Sun,3,0.741352841953642
HB_HUBAVG,1,Sun,4,0.75237066378586
HB_HUBAVG,1,Sun,5,0.789593717819937
HB_HUBAVG,1,Sun,6,0.855018352507123
HB_HUBAVG,1,Sun,7,1.05634630328071
HB_HUBAVG,1,Sun,8,1.16149574512442
HB_HUBAVG,1,Sun,9,1.25085129099306
HB_HUBAVG,1,Sun,10,1.19930001453038
HB_HUBAVG,1,Sun,11,1.09930570033294
HB_HUBAVG,1,Sun,12,1.02786675005844
HB_HUBAVG,1,Sun,13,0.963756167516378
HB_HUBAVG,1,Sun,14,0.926583653949421
HB_HUBAVG,1,Sun,15,0.893707080087688
HB_HUBAVG,1,Sun,16,0.89032086879063
HB_HUBAVG,1,Sun,17,0.918017044772536
HB_HUBAVG,1,Sun,18,1.27329125839446
HB_HUBAVG,1,Sun,19,1.52586724282799
HB_HUBAVG,1,Sun,20,1.1835061185553
HB_HUBAVG,1,Sun,21,1.0808837000676
HB_HUBAVG,1,Sun,22,1.01518109281125
HB_HUBAVG,1,Sun,23,0.918522449443739
HB_HUBAVG,1,Sun,24,0.859920777817789
HB_HUBAVG,1,Mon,1,0.756315413168557
HB_HUBAVG,1,Mon,2,0.726813091172943
HB_HUBAVG,1,Mon,3,0.723084775755915
HB_HUBAVG,1,Mon,4,0.747191461154215
HB_HUBAVG,1,Mon,5,0.812379087855669
HB_HUBAVG,1,Mon,6,0.919342373018729
HB_HUBAVG,1,Mon,7,1.53291656736393
HB_HUBAVG,1,Mon,8,1.39645096020525
HB_HUBAVG,1,Mon,9,1.17025105341314
HB_HUBAVG,1,Mon,10,1.15228103624783
HB_HUBAVG,1,Mon,11,1.05881842119736
HB_HUBAVG,1,Mon,12,0.965471592339971
HB_HUBAVG,1,Mon,13,0.924367493798202
HB_HUBAVG,1,Mon,14,0.900770267649434
HB_HUBAVG,1,Mon,15,0.883147609063357
HB_HUBAVG,1,Mon,16,0.863162912138542
HB_HUBAVG,1,Mon,17,0.898269285879005
HB_HUBAVG,1,Mon,18,1.32125940642208
HB_HUBAVG,1,Mon,19,1.39624254505771
HB_HUBAVG,1,Mon,20,1.12185242470762
HB_HUBAVG,1,Mon,21,1.04684612883337
HB_HUBAVG,1,Mon,22,0.979018576929794
HB_HUBAVG,1,Mon,23,0.893892567780755
HB_HUBAVG,1,Mon,24,0.809854948846625
HB_HUBAVG,1,Tue,1,0.625597507569182
HB_HUBAVG,1,Tue,2,0.595089208362519
HB_HUBAVG,1,Tue,3,0.596981195910219
HB_HUBAVG,1,Tue,4,0.630288060031188
HB_HUBAVG,1,Tue,5,0.721123170524411
HB_HUBAVG,1,Tue,6,0.868304035172574
HB_HUBAVG,1,Tue,7,1.57127595016124
HB_HUBAVG,1,Tue,8,1.50621917000543
HB_HUBAVG,1,Tue,9,1.19335143750816
HB_HUBAVG,1,Tue,10,1.13144796993185
HB_HUBAVG,1,Tue,11,1.02175210857249
HB_HUBAVG,1,Tue,12,0.952044192361922
HB_HUBAVG,1,Tue,13,0.909513888945915
HB_HUBAVG,1,Tue,14,0.874058830630162
HB_HUBAVG,1,Tue,15,0.84871408077243
HB_HUBAVG,1,Tue,16,0.853227259401839
HB_HUBAVG,1,Tue,17,0.908646727986552
HB_HUBAVG,1,Tue,18,1.48761462578638
HB_HUBAVG,1,Tue,19,1.65907599729669
HB_HUBAVG,1,Tue,20,1.24614971501116
HB_HUBAVG,1,Tue,21,1.09981630311874
HB_HUBAVG,1,Tue,22,1.00306873153896
HB_HUBAVG,1,Tue,23,0.884957467233059
HB_HUBAVG,1,Tue,24,0.811682366166927
HB_HUBAVG,1,Wed,1,0.567549460477297
HB_HUBAVG,1,Wed,2,0.548135779034239
HB_HUBAVG,1,Wed,3,0.551394232233309
HB_HUBAVG,1,Wed,4,0.576167612396334
HB_HUBAVG,1,Wed,5,0.686041436155634
HB_HUBAVG,1,Wed,6,1.05627176108737
HB_HUBAVG,1,Wed,7,3.45875671231208
HB_HUBAVG,1,Wed,8,3.48046958269467
HB_HUBAVG,1,Wed,9,1.57864444286541
HB_HUBAVG,1,Wed,10,0.896348705247023
HB_HUBAVG,1,Wed,11,0.8458122278278
HB_HUBAVG,1,Wed,12,0.768949275730107
HB_HUBAVG,1,Wed,13,0.724975383959477
HB_HUBAVG,1,Wed,14,0.691553399043781
HB_HUBAVG,1,Wed,15,0.657141697034909
HB_HUBAVG,1,Wed,16,0.647579507273152
HB_HUBAVG,1,Wed,17,0.670449585333915
HB_HUBAVG,1,Wed,18,0.947372428004426
HB_HUBAVG,1,Wed,19,1.03162019225889
HB_HUBAVG,1,Wed,20,0.840376397023743
HB_HUBAVG,1,Wed,21,0.789169957264523
HB_HUBAVG,1,Wed,22,0.726741648310376
HB_HUBAVG,1,Wed,23,0.659654055809893
HB_HUBAVG,1,Wed,24,0.598824520621644
HB_HUBAVG,1,Thu,1,0.721782148662547
HB_HUBAVG,1,Thu,2,0.688132125188942
HB_HUBAVG,1,Thu,3,0.692256966776029
HB_HUBAVG,1,Thu,4,0.719849986024386
HB_HUBAVG,1,Thu,5,0.808512370454194
HB_HUBAVG,1,Thu,6,1.04794856973832
HB_HUBAVG,1,Thu,7,1.98229031829123
HB_HUBAVG,1,Thu,8,1.74168179560867
HB_HUBAVG,1,Thu,9,1.25230190583964
HB_HUBAVG,1,Thu,10,1.10769364367339
HB_HUBAVG,1,Thu,11,1.01922664647665
HB_HUBAVG,1,Thu,12,0.93353848992806
HB_HUBAVG,1,Thu,13,0.887166586612175
HB_HUBAVG,1,Thu,14,0.859117663819983
HB_HUBAVG,1,Thu,15,0.820105346283165
HB_HUBAVG,1,Thu,16,0.819671152431893
HB_HUBAVG,1,Thu,17,0.85399417637497
HB_HUBAVG,1,Thu,18,1.22199517502083
HB_HUBAVG,1,Thu,19,1.28291257235433
HB_HUBAVG,1,Thu,20,1.0378752723888
HB_HUBAVG,1,Thu,21,0.977956520913218
HB_HUBAVG,1,Thu,22,0.898607594593201
HB_HUBAVG,1,Thu,23,0.843530104559307
HB_HUBAVG,1,Thu,24,0.781852867986073
HB_HUBAVG,2,Mon,1,0.686105184391211
HB_HUBAVG,2,Mon,2,0.63602074969917
HB_HUBAVG,2,Mon,3,0.623795415246782
HB_HUBAVG,2,Mon,4,0.656285075788984
HB_HUBAVG,2,Mon,5,0.735916596725754
HB_HUBAVG,2,Mon,6,0.897697511451771
HB_HUBAVG,2,Mon,7,1.4617920378591
HB_HUBAVG,2,Mon,8,1.32983123173531
HB_HUBAVG,2,Mon,9,1.16268087731184
HB_HUBAVG,2,Mon,10,1.1459051702345
HB_HUBAVG,2,Mon,11,1.07579909599264
HB_HUBAVG,2,Mon,12,1.04552395012792
HB_HUBAVG,2,Mon,13,1.01628022205818
HB_HUBAVG,2,Mon,14,1.01700828167818
HB_HUBAVG,2,Mon,15,0.992496941138402
HB_HUBAVG,2,Mon,16,1.00554134266328
HB_HUBAVG,2,Mon,17,0.994438433458384
HB_HUBAVG,2,Mon,18,1.1677166230168
HB_HUBAVG,2,Mon,19,1.65327171791734
HB_HUBAVG,2,Mon,20,1.14684558057699
HB_HUBAVG,2,Mon,21,1.02868757141557
HB_HUBAVG,2,Mon,22,0.945142730021336
HB_HUBAVG,2,Mon,23,0.841363898354788
HB_HUBAVG,2,Mon,24,0.733853761135773
HB_HUBAVG,2,Tue,1,0.626034914297551
HB_HUBAVG,2,Tue,2,0.573817839250679
HB_HUBAVG,2,Tue,3,0.555894937809485
HB_HUBAVG,2,Tue,4,0.597598932859049
HB_HUBAVG,2,Tue,5,0.687466767293871
HB_HUBAVG,2,Tue,6,0.861027584960279
HB_HUBAVG,2,Tue,7,1.28487570473128
HB_HUBAVG,2,Tue,8,1.15957372416095
HB_HUBAVG,2,Tue,9,1.0924736744191
HB_HUBAVG,2,Tue,10,1.08572883695094
HB_HUBAVG,2,Tue,11,1.05802117129539
HB_HUBAVG,2,Tue,12,1.03883163370994
HB_HUBAVG,2,Tue,13,1.01945210070285
HB_HUBAVG,2,Tue,14,1.04076325382993
HB_HUBAVG,2,Tue,15,1.03259345069949
HB_HUBAVG,2,Tue,16,1.05235297454985
HB_HUBAVG,2,Tue,17,1.06451268153469
HB_HUBAVG,2,Tue,18,1.2390868081165
HB_HUBAVG,2,Tue,19,1.88421626228868
HB_HUBAVG,2,Tue,20,1.21042916535275
HB_HUBAVG,2,Tue,21,1.0964952441771
HB_HUBAVG,2,Tue,22,1.01096563853635
HB_HUBAVG,2,Tue,23,0.906594820249818
HB_HUBAVG,2,Tue,24,0.82119187822349
HB_HUBAVG,2,Wed,1,0.69947512542432
HB_HUBAVG,2,Wed,2,0.643162112154668
HB_HUBAVG,2,Wed,3,0.624786944672673
HB_HUBAVG,2,Wed,4,0.6478809051645
HB_HUBAVG,2,Wed,5,0.731256665099812
HB_HUBAVG,2,Wed,6,0.887914342969272
HB_HUBAVG,2,Wed,7,1.41948168798414
HB_HUBAVG,2,Wed,8,1.20516723459719
HB_HUBAVG,2,Wed,9,1.07794732504072
HB_HUBAVG,2,Wed,10,1.06613471737373
HB_HUBAVG,2,Wed,11,1.05160333492623
HB_HUBAVG,2,Wed,12,1.04738454647373
HB_HUBAVG,2,Wed,13,1.02994688753674
HB_HUBAVG,2,Wed,14,1.02741561446524
HB_HUBAVG,2,Wed,15,1.02491559167857
HB_HUBAVG,2,Wed,16,1.05685338277823
HB_HUBAVG,2,Wed,17,1.01847803300291
HB_HUBAVG,2,Wed,18,1.15597928626954
HB_HUBAVG,2,Wed,19,1.69414044138423
HB_HUBAVG,2,Wed,20,1.19935468161819
HB_HUBAVG,2,Wed,21,1.09944752100605
HB_HUBAVG,2,Wed,22,0.979821430664082
HB_HUBAVG,2,Wed,23,0.839757654041118
HB_HUBAVG,2,Wed,24,0.771694533674135
HB_HUBAVG,2,Thu,1,0.645486839355782
HB_HUBAVG,2,Thu,2,0.614963122334786
HB_HUBAVG,2,Thu,3,0.60657374372151
HB_HUBAVG,2,Thu,4,0.634992376810024
HB_HUBAVG,2,Thu,5,0.691272414887278
HB_HUBAVG,2,Thu,6,0.896053741554512
HB_HUBAVG,2,Thu,7,1.69013474085024
HB_HUBAVG,2,Thu,8,1.3865692549396
HB_HUBAVG,2,Thu,9,1.14878764191903
HB_HUBAVG,2,Thu,10,1.1105865599678
HB_HUBAVG,2,Thu,11,1.07309749169962
HB_HUBAVG,2,Thu,12,1.03582512324802
HB_HUBAVG,2,Thu,13,1.0036297219277
HB_HUBAVG,2,Thu,14,0.989760933666638
HB_HUBAVG,2,Thu,15,0.967471809675647
HB_HUBAVG,2,Thu,16,0.972579733923582
HB_HUBAVG,2,Thu,17,0.989451362500097
HB_HUBAVG,2,Thu,18,1.15123325413471
HB_HUBAVG,2,Thu,19,1.61382544829775
HB_HUBAVG,2,Thu,20,1.14504183080388
HB_HUBAVG,2,Thu,21,1.04662915696032
HB_HUBAVG,2,Thu,22,0.966790753109255
HB_HUBAVG,2,Thu,23,0.8609483712687
HB_HUBAVG,2,Thu,24,0.758294572443523
HB_HUBAVG,2,Fri,1,0.701897615271971
HB_HUBAVG,2,Fri,2,0.658011942608709
HB_HUBAVG,2,Fri,3,0.64320128682747
HB_HUBAVG,2,Fri,4,0.680592122734205
HB_HUBAVG,2,Fri,5,0.746117134684401
HB_HUBAVG,2,Fri,6,0.867849799312579
HB_HUBAVG,2,Fri,7,1.58677359879208
HB_HUBAVG,2,Fri,8,1.30606918215134
HB_HUBAVG,2,Fri,9,1.19064925605287
HB_HUBAVG,2,Fri,10,1.16096724508145
HB_HUBAVG,2,Fri,11,1.09274110943345
HB_HUBAVG,2,Fri,12,1.05996342860611
HB_HUBAVG,2,Fri,13,1.00824753218966
HB_HUBAVG,2,Fri,14,1.00633550080806
HB_HUBAVG,2,Fri,15,1.0004780078454
HB_HUBAVG,2,Fri,16,0.984574762703248
HB_HUBAVG,2,Fri,17,0.991190998277654
HB_HUBAVG,2,Fri,18,1.17268223100678
HB_HUBAVG,2,Fri,19,1.51138493288922
HB_HUBAVG,2,Fri,20,1.06202720851006
HB_HUBAVG,2,Fri,21,0.992313937343035
HB_HUBAVG,2,Fri,22,0.936015235551644
HB_HUBAVG,2,Fri,23,0.856134813387254
HB_HUBAVG,2,Fri,24,0.783781117931364
HB_HUBAVG,2,Sat,1,0.810038958242776
HB_HUBAVG,2,Sat,2,0.741920937922742
HB_HUBAVG,2,Sat,3,0.724761436620748
HB_HUBAVG,2,Sat,4,0.734056166492661
HB_HUBAVG,2,Sat,5,0.775362466028331
HB_HUBAVG,2,Sat,6,0.858982535820053
HB_HUBAVG,2,Sat,7,0.97675911293828
HB_HUBAVG,2,Sat,8,1.06938142110245
HB_HUBAVG,2,Sat,9,1.21894207449596
HB_HUBAVG,2,Sat,10,1.33327375173159
HB_HUBAVG,2,Sat,11,1.24295887650765
HB_HUBAVG,2,Sat,12,1.08985582606506
HB_HUBAVG,2,Sat,13,1.03236499689228
HB_HUBAVG,2,Sat,14,1.04793204447496
HB_HUBAVG,2,Sat,15,1.01608297008868
HB_HUBAVG,2,Sat,16,1.0005484215615
HB_HUBAVG,2,Sat,17,0.993171135963861
HB_HUBAVG,2,Sat,18,1.15072655700944
HB_HUBAVG,2,Sat,19,1.5316154874249
HB_HUBAVG,2,Sat,20,1.08439598474169
HB_HUBAVG,2,Sat,21,1.01605047103319
HB_HUBAVG,2,Sat,22,0.927198053306576
HB_HUBAVG,2,Sat,23,0.8517352464444
HB_HUBAVG,2,Sat,24,0.771885067090238
HB_HUBAVG,2,Sun,1,0.753131726445453
HB_HUBAVG,2,Sun,2,0.687867357159602
HB_HUBAVG,2,Sun,3,0.640436459731901
HB_HUBAVG,2,Sun,4,0.659429277752914
HB_HUBAVG,2,Sun,5,0.694687040470558
HB_HUBAVG,2,Sun,6,0.746107452635168
HB_HUBAVG,2,Sun,7,0.917486094239499
HB_HUBAVG,2,Sun,8,0.997958357308782
HB_HUBAVG,2,Sun,9,1.16906421158067
HB_HUBAVG,2,Sun,10,1.2216780683247
HB_HUBAVG,2,Sun,11,1.14915073631268
HB_HUBAVG,2,Sun,12,1.09612769857
HB_HUBAVG,2,Sun,13,1.06915585107517
HB_HUBAVG,2,Sun,14,1.05036762355348
HB_HUBAVG,2,Sun,15,1.03400038360719
HB_HUBAVG,2,Sun,16,1.02325938239243
HB_HUBAVG,2,Sun,17,1.02356626814142
HB_HUBAVG,2,Sun,18,1.20200328197259
HB_HUBAVG,2,Sun,19,1.76844617778062
HB_HUBAVG,2,Sun,20,1.23071414871172
