SettlementPoint,month,day_of_week,hr,Normalized_Hour_Average
HB_SOUTH,1,Fri,1,0.796861159825224
HB_SOUTH,1,Fri,2,0.73991023392682
HB_SOUTH,1,Fri,3,0.745094076033647
HB_SOUTH,1,Fri,4,0.764497815295901
HB_SOUTH,1,Fri,5,0.831483518116696
HB_SOUTH,1,Fri,6,0.981149124632167
HB_SOUTH,1,Fri,7,1.60523140029129
HB_SOUTH,1,Fri,8,1.42196593645038
HB_SOUTH,1,Fri,9,1.171239187944
HB_SOUTH,1,Fri,10,1.09528876735131
HB_SOUTH,1,Fri,11,1.04121511161311
HB_SOUTH,1,Fri,12,0.973064233272895
HB_SOUTH,1,Fri,13,0.922604999554142
HB_SOUTH,1,Fri,14,0.896043753529709
HB_SOUTH,1,Fri,15,0.867865529233422
HB_SOUTH,1,Fri,16,0.850578129179919
HB_SOUTH,1,Fri,17,0.889338049519959
HB_SOUTH,1,Fri,18,1.30038343786226
HB_SOUTH,1,Fri,19,1.31438932318759
HB_SOUTH,1,Fri,20,1.09217370626876
HB_SOUTH,1,Fri,21,1.02259608239455
HB_SOUTH,1,Fri,22,0.975370805219511
HB_SOUTH,1,Fri,23,0.877828968879113
HB_SOUTH,1,Fri,24,0.82382665041762
HB_SOUTH,1,Sat,1,0.893035187268328
HB_SOUTH,1,Sat,2,0.823922527406386
HB_SOUTH,1,Sat,3,0.793089564195906
HB_SOUTH,1,Sat,4,0.786913009368605
HB_SOUTH,1,Sat,5,0.826761750189904
HB_SOUTH,1,Sat,6,0.893035187268328
HB_SOUTH,1,Sat,7,1.08124577125993
HB_SOUTH,1,Sat,8,1.18769172017882
HB_SOUTH,1,Sat,9,1.37747134834026
HB_SOUTH,1,Sat,10,1.32626571638489
HB_SOUTH,1,Sat,11,1.15481650900125
HB_SOUTH,1,Sat,12,1.0617447937205
HB_SOUTH,1,Sat,13,0.957764485639925
HB_SOUTH,1,Sat,14,0.892711416249154
HB_SOUTH,1,Sat,15,0.864767486748218
HB_SOUTH,1,Sat,16,0.845640091153995
HB_SOUTH,1,Sat,17,0.86718331666051
HB_SOUTH,1,Sat,18,1.16916205569692
HB_SOUTH,1,Sat,19,1.33368754436286
HB_SOUTH,1,Sat,20,1.11484324086488
HB_SOUTH,1,Sat,21,1.02603035975941
HB_SOUTH,1,Sat,22,0.972583236132846
HB_SOUTH,1,Sat,23,0.906334704517436
HB_SOUTH,1,Sat,24,0.843298977630743
HB_SOUTH,1,Sun,1,0.845439677633993
HB_SOUTH,1,Sun,2,0.767833046246836
HB_SOUTH,1,Sun,3,0.737636106982731
HB_SOUTH,1,Sun,4,0.74999844537998
HB_SOUTH,1,Sun,5,0.782583280994459
HB_SOUTH,1,Sun,6,0.850986561864549
HB_SOUTH,1,Sun,7,1.05050027672236
HB_SOUTH,1,Sun,8,1.15238385433832
HB_SOUTH,1,Sun,9,1.24391988110266
HB_SOUTH,1,Sun,10,1.19272935309152
HB_SOUTH,1,Sun,11,1.09467635920428
HB_SOUTH,1,Sun,12,1.02167140307566
HB_SOUTH,1,Sun,13,0.954312826858859
HB_SOUTH,1,Sun,14,0.9199370689816
HB_SOUTH,1,Sun,15,0.890088364601924
HB_SOUTH,1,Sun,16,0.889168029550218
HB_SOUTH,1,Sun,17,0.921081269316154
HB_SOUTH,1,Sun,18,1.27272388082905
HB_SOUTH,1,Sun,19,1.52696022038293
HB_SOUTH,1,Sun,20,1.20039052054897
HB_SOUTH,1,Sun,21,1.10099433496465
HB_SOUTH,1,Sun,22,1.03639676390297
HB_SOUTH,1,Sun,23,0.930259745912904
HB_SOUTH,1,Sun,24,0.867328727512421
HB_SOUTH,1,Mon,1,0.765512220723593
HB_SOUTH,1,Mon,2,0.731335955620517
HB_SOUTH,1,Mon,3,0.72860456323117
HB_SOUTH,1,Mon,4,0.749936512057066
HB_SOUTH,1,Mon,5,0.813300300791765
HB_SOUTH,1,Mon,6,0.919350560669078
HB_SOUTH,1,Mon,7,1.52086637057771
HB_SOUTH,1,Mon,8,1.37971433247366
HB_SOUTH,1,Mon,9,1.16052573660122
HB_SOUTH,1,Mon,10,1.14589811454918
HB_SOUTH,1,Mon,11,1.05303077331136
HB_SOUTH,1,Mon,12,0.961969311339229
HB_SOUTH,1,Mon,13,0.921630483242005
HB_SOUTH,1,Mon,14,0.898063758824824
HB_SOUTH,1,Mon,15,0.880975626273286
HB_SOUTH,1,Mon,16,0.863368303432864
HB_SOUTH,1,Mon,17,0.901246621030593
HB_SOUTH,1,Mon,18,1.31348371040469
HB_SOUTH,1,Mon,19,1.39188144402621
HB_SOUTH,1,Mon,20,1.13768136389032
HB_SOUTH,1,Mon,21,1.06199244916732
HB_SOUTH,1,Mon,22,0.989531543631736
HB_SOUTH,1,Mon,23,0.898470081659603
HB_SOUTH,1,Mon,24,0.811629862471007
HB_SOUTH,1,Tue,1,0.62084462044045
HB_SOUTH,1,Tue,2,0.584700216038839
HB_SOUTH,1,Tue,3,0.58612443644657
HB_SOUTH,1,Tue,4,0.616302512113091
HB_SOUTH,1,Tue,5,0.70616312135224
HB_SOUTH,1,Tue,6,0.854185812647655
HB_SOUTH,1,Tue,7,1.5371957292634
HB_SOUTH,1,Tue,8,1.48619324168924
HB_SOUTH,1,Tue,9,1.19068675330674
HB_SOUTH,1,Tue,10,1.12503789099902
HB_SOUTH,1,Tue,11,1.01962633460519
HB_SOUTH,1,Tue,12,0.95565189358764
HB_SOUTH,1,Tue,13,0.916505078596758
HB_SOUTH,1,Tue,14,0.883497808336501
HB_SOUTH,1,Tue,15,0.863327767967551
HB_SOUTH,1,Tue,16,0.873682235256191
HB_SOUTH,1,Tue,17,0.928572459619021
HB_SOUTH,1,Tue,18,1.48663590478894
HB_SOUTH,1,Tue,19,1.64961291036553
HB_SOUTH,1,Tue,20,1.25991541285551
HB_SOUTH,1,Tue,21,1.11589593567913
HB_SOUTH,1,Tue,22,1.01593106003378
HB_SOUTH,1,Tue,23,0.896065591123642
HB_SOUTH,1,Tue,24,0.827645272887366
HB_SOUTH,1,Wed,1,0.577990702402129
HB_SOUTH,1,Wed,2,0.548453639067849
HB_SOUTH,1,Wed,3,0.550576241797336
HB_SOUTH,1,Wed,4,0.571114665391112
HB_SOUTH,1,Wed,5,0.677469020463684
HB_SOUTH,1,Wed,6,1.04554627124471
HB_SOUTH,1,Wed,7,3.43861642177013
HB_SOUTH,1,Wed,8,3.46755556884258
HB_SOUTH,1,Wed,9,1.58538991614224
HB_SOUTH,1,Wed,10,0.89793569410604
HB_SOUTH,1,Wed,11,0.836589485642536
HB_SOUTH,1,Wed,12,0.761984484073006
HB_SOUTH,1,Wed,13,0.714778995201722
HB_SOUTH,1,Wed,14,0.686333129045277
HB_SOUTH,1,Wed,15,0.652281797934199
HB_SOUTH,1,Wed,16,0.643417689352606
HB_SOUTH,1,Wed,17,0.67054813973303
HB_SOUTH,1,Wed,18,0.947697274996637
HB_SOUTH,1,Wed,19,1.04137580531847
HB_SOUTH,1,Wed,20,0.859878324040718
HB_SOUTH,1,Wed,21,0.807964244607543
HB_SOUTH,1,Wed,22,0.744076892031271
HB_SOUTH,1,Wed,23,0.668096683059537
HB_SOUTH,1,Wed,24,0.604328913735631
HB_SOUTH,1,Thu,1,0.726612796257239
HB_SOUTH,1,Thu,2,0.684512008404697
HB_SOUTH,1,Thu,3,0.68714726052366
HB_SOUTH,1,Thu,4,0.717041560561168
HB_SOUTH,1,Thu,5,0.803730814266552
HB_SOUTH,1,Thu,6,1.04834545695711
HB_SOUTH,1,Thu,7,1.99773192634295
HB_SOUTH,1,Thu,8,1.76129710622965
HB_SOUTH,1,Thu,9,1.26901092839054
HB_SOUTH,1,Thu,10,1.12103625140657
HB_SOUTH,1,Thu,11,1.00965995585074
HB_SOUTH,1,Thu,12,0.931867313298975
HB_SOUTH,1,Thu,13,0.881312636648803
HB_SOUTH,1,Thu,14,0.852514601492782
HB_SOUTH,1,Thu,15,0.816885992844412
HB_SOUTH,1,Thu,16,0.815958384098537
HB_SOUTH,1,Thu,17,0.846316488508983
HB_SOUTH,1,Thu,18,1.19813318739893
HB_SOUTH,1,Thu,19,1.26783033544124
HB_SOUTH,1,Thu,20,1.03828933487115
HB_SOUTH,1,Thu,21,0.988008724441348
HB_SOUTH,1,Thu,22,0.90201517729537
HB_SOUTH,1,Thu,23,0.845009403457978
HB_SOUTH,1,Thu,24,0.789732355010624
HB_SOUTH,2,Mon,1,0.682330320334725
HB_SOUTH,2,Mon,2,0.629950182737155
HB_SOUTH,2,Mon,3,0.616389842546921
HB_SOUTH,2,Mon,4,0.648001093099318
HB_SOUTH,2,Mon,5,0.723602205401733
HB_SOUTH,2,Mon,6,0.883106076179667
HB_SOUTH,2,Mon,7,1.43772103563775
HB_SOUTH,2,Mon,8,1.31219187339743
HB_SOUTH,2,Mon,9,1.14772474085053
HB_SOUTH,2,Mon,10,1.12861027439501
HB_SOUTH,2,Mon,11,1.0624629940335
HB_SOUTH,2,Mon,12,1.0381784632353
HB_SOUTH,2,Mon,13,1.01989120707462
HB_SOUTH,2,Mon,14,1.0262134571851
HB_SOUTH,2,Mon,15,1.00952153516444
HB_SOUTH,2,Mon,16,1.02500218496767
HB_SOUTH,2,Mon,17,1.00993514031185
HB_SOUTH,2,Mon,18,1.16397351449895
HB_SOUTH,2,Mon,19,1.64493721449243
HB_SOUTH,2,Mon,20,1.15499237415509
HB_SOUTH,2,Mon,21,1.04845950547104
HB_SOUTH,2,Mon,22,0.975576369851631
HB_SOUTH,2,Mon,23,0.859116977629624
HB_SOUTH,2,Mon,24,0.75211141734852
HB_SOUTH,2,Tue,1,0.639385675548311
HB_SOUTH,2,Tue,2,0.574770362244386
HB_SOUTH,2,Tue,3,0.553664547329713
HB_SOUTH,2,Tue,4,0.588583391917678
HB_SOUTH,2,Tue,5,0.678012716021724
HB_SOUTH,2,Tue,6,0.851000054077857
HB_SOUTH,2,Tue,7,1.2738579915484
HB_SOUTH,2,Tue,8,1.14870638041455
HB_SOUTH,2,Tue,9,1.07559311820647
HB_SOUTH,2,Tue,10,1.0767055769721
HB_SOUTH,2,Tue,11,1.04898681272838
HB_SOUTH,2,Tue,12,1.03131107900775
HB_SOUTH,2,Tue,13,1.02145345827893
HB_SOUTH,2,Tue,14,1.04651468213808
HB_SOUTH,2,Tue,15,1.04466058419536
HB_SOUTH,2,Tue,16,1.0617491869008
HB_SOUTH,2,Tue,17,1.07145229946772
HB_SOUTH,2,Tue,18,1.23319144333799
HB_SOUTH,2,Tue,19,1.87919006821535
HB_SOUTH,2,Tue,20,1.23186267314571
HB_SOUTH,2,Tue,21,1.11045015952968
HB_SOUTH,2,Tue,22,1.01864140973247
HB_SOUTH,2,Tue,23,0.913792171071437
HB_SOUTH,2,Tue,24,0.826464157969145
HB_SOUTH,2,Wed,1,0.696311539806682
HB_SOUTH,2,Wed,2,0.636339214662605
HB_SOUTH,2,Wed,3,0.617210110952856
HB_SOUTH,2,Wed,4,0.641265947255577
HB_SOUTH,2,Wed,5,0.724138455378096
HB_SOUTH,2,Wed,6,0.883162435184575
HB_SOUTH,2,Wed,7,1.42242677060788
HB_SOUTH,2,Wed,8,1.21909260939425
HB_SOUTH,2,Wed,9,1.07831578733951
HB_SOUTH,2,Wed,10,1.06228870044756
HB_SOUTH,2,Wed,11,1.04471060514671
HB_SOUTH,2,Wed,12,1.04002716799043
HB_SOUTH,2,Wed,13,1.02241866075999
HB_SOUTH,2,Wed,14,1.02497326284524
HB_SOUTH,2,Wed,15,1.02774074843759
HB_SOUTH,2,Wed,16,1.0628665271097
HB_SOUTH,2,Wed,17,1.02588562073283
HB_SOUTH,2,Wed,18,1.15644403444658
HB_SOUTH,2,Wed,19,1.68104981980932
HB_SOUTH,2,Wed,20,1.2019402811076
HB_SOUTH,2,Wed,21,1.09811395350016
HB_SOUTH,2,Wed,22,0.991033549426989
HB_SOUTH,2,Wed,23,0.859623601684821
HB_SOUTH,2,Wed,24,0.782620595972447
HB_SOUTH,2,Thu,1,0.649969973861063
HB_SOUTH,2,Thu,2,0.611217566163407
HB_SOUTH,2,Thu,3,0.599526060445982
HB_SOUTH,2,Thu,4,0.62772322129389
HB_SOUTH,2,Thu,5,0.684177346088005
HB_SOUTH,2,Thu,6,0.88643142453472
HB_SOUTH,2,Thu,7,1.68773313864102
HB_SOUTH,2,Thu,8,1.38465103646245
HB_SOUTH,2,Thu,9,1.14525923397215
HB_SOUTH,2,Thu,10,1.10752347894557
HB_SOUTH,2,Thu,11,1.06921959448516
HB_SOUTH,2,Thu,12,1.03267990142456
HB_SOUTH,2,Thu,13,1.0045126421258
HB_SOUTH,2,Thu,14,0.996588731601203
HB_SOUTH,2,Thu,15,0.97227877214272
HB_SOUTH,2,Thu,16,0.980352190413065
HB_SOUTH,2,Thu,17,0.993299561194766
HB_SOUTH,2,Thu,18,1.14543864326704
HB_SOUTH,2,Thu,19,1.60616171256139
HB_SOUTH,2,Thu,20,1.15207678717822
HB_SOUTH,2,Thu,21,1.05062083091422
HB_SOUTH,2,Thu,22,0.97697331535918
HB_SOUTH,2,Thu,23,0.874829623464742
HB_SOUTH,2,Thu,24,0.760755213459684
HB_SOUTH,2,Fri,1,0.702476327856867
HB_SOUTH,2,Fri,2,0.656830186721864
HB_SOUTH,2,Fri,3,0.637978923240135
HB_SOUTH,2,Fri,4,0.674110511580115
HB_SOUTH,2,Fri,5,0.737659424952483
HB_SOUTH,2,Fri,6,0.85968875161015
HB_SOUTH,2,Fri,7,1.56889343923172
HB_SOUTH,2,Fri,8,1.30195243464611
HB_SOUTH,2,Fri,9,1.18413203788531
HB_SOUTH,2,Fri,10,1.1552326952836
HB_SOUTH,2,Fri,11,1.09046852750439
HB_SOUTH,2,Fri,12,1.05824946554741
HB_SOUTH,2,Fri,13,1.00955036821962
HB_SOUTH,2,Fri,14,1.0128404472235
HB_SOUTH,2,Fri,15,1.01405570163034
HB_SOUTH,2,Fri,16,1.00139927158836
HB_SOUTH,2,Fri,17,1.00723842081148
HB_SOUTH,2,Fri,18,1.17337259033206
HB_SOUTH,2,Fri,19,1.50163948193606
HB_SOUTH,2,Fri,20,1.06930531661453
HB_SOUTH,2,Fri,21,0.999739411910728
HB_SOUTH,2,Fri,22,0.943215261816929
HB_SOUTH,2,Fri,23,0.855865146281309
HB_SOUTH,2,Fri,24,0.784105855574918
HB_SOUTH,2,Sat,1,0.808503840115976
HB_SOUTH,2,Sat,2,0.735020775047234
HB_SOUTH,2,Sat,3,0.716230150818789
HB_SOUTH,2,Sat,4,0.72548286966315
HB_SOUTH,2,Sat,5,0.766929980102958
HB_SOUTH,2,Sat,6,0.853278126852557
HB_SOUTH,2,Sat,7,0.972549475243564
HB_SOUTH,2,Sat,8,1.06605897287955
HB_SOUTH,2,Sat,9,1.21857039684499
HB_SOUTH,2,Sat,10,1.3305536447764
HB_SOUTH,2,Sat,11,1.23637871188106
HB_SOUTH,2,Sat,12,1.08513478364772
HB_SOUTH,2,Sat,13,1.03228021161897
HB_SOUTH,2,Sat,14,1.05237001897283
HB_SOUTH,2,Sat,15,1.02736866565707
HB_SOUTH,2,Sat,16,1.01016241109376
HB_SOUTH,2,Sat,17,1.00471217944571
HB_SOUTH,2,Sat,18,1.15044250124439
HB_SOUTH,2,Sat,19,1.52432205482183
HB_SOUTH,2,Sat,20,1.08621215502001
HB_SOUTH,2,Sat,21,1.02055587609701
HB_SOUTH,2,Sat,22,0.933985917594293
HB_SOUTH,2,Sat,23,0.863449780102694
HB_SOUTH,2,Sat,24,0.779446500457487
HB_SOUTH,2,Sun,1,0.762715598771155
HB_SOUTH,2,Sun,2,0.690913777120029
HB_SOUTH,2,Sun,3,0.641726702445635
HB_SOUTH,2,Sun,4,0.657989366080374
HB_SOUTH,2,Sun,5,0.691080062024269
HB_SOUTH,2,Sun,6,0.744823343074857
HB_SOUTH,2,Sun,7,0.916562392174632
HB_SOUTH,2,Sun,8,0.998141766195111
HB_SOUTH,2,Sun,9,1.16941521756301
HB_SOUTH,2,Sun,10,1.22059771108829
HB_SOUTH,2,Sun,11,1.14500459362048
HB_SOUTH,2,Sun,12,1.0911282846465
HB_SOUTH,2,Sun,13,1.0669504595699
HB_SOUTH,2,Sun,14,1.05115339366704
HB_SOUTH,2,Sun,15,1.03871528282984
HB_SOUTH,2,Sun,16,1.02847213272861
HB_SOUTH,2,Sun,17,1.02601111614585
HB_SOUTH,2,Sun,18,1.19316070188858
HB_SOUTH,2,Sun,19,1.75121284052031
HB_SOUTH,2,Sun,20,1.22635116877502
HB_SOUTH,2,Sun,21,1.09425444084622
HB_SOUTH,2,Sun,22,1.02138839580796
HB_SOUTH,2,Sun,23,0.935618642200614
HB_SOUTH,2,Sun,24,0.836612610215713
HB_SOUTH,3,Tue,1,0.594550378131582
HB_SOUTH,3,Tue,2,0.531480293819143
HB_SOUTH,3,Tue,3,0.502175671311227
HB_SOUTH,3,Tue,4,0.513062769198494
HB_SOUTH,3,Tue,5,0.577325355105075
HB_SOUTH,3,Tue,6,0.760595183434533
HB_SOUTH,3,Tue,7,2.40313362918905
HB_SOUTH,3,Tue,8,2.16465539372336
HB_SOUTH,3,Tue,9,1.25890626624622
HB_SOUTH,3,Tue,10,0.980214227022491
HB_SOUTH,3,Tue,11,0.884681599313944
HB_SOUTH,3,Tue,12,0.889539939141933
HB_SOUTH,3,Tue,13,0.888590354539189
HB_SOUTH,3,Tue,14,0.967273376389757
HB_SOUTH,3,Tue,15,1.01621010847532
HB_SOUTH,3,Tue,16,1.10317439139632
HB_SOUTH,3,Tue,17,1.17074948173108
HB_SOUTH,3,Tue,18,1.06254100374405
HB_SOUTH,3,Tue,19,1.24015749118276
HB_SOUTH,3,Tue,20,1.17028573111113
HB_SOUTH,3,Tue,21,0.996401331994836
HB_SOUTH,3,Tue,22,0.863349070796501
HB_SOUTH,3,Tue,23,0.776075620795535
HB_SOUTH,3,Tue,24,0.684871332206468
HB_SOUTH,3,Wed,1,0.709241962221559
HB_SOUTH,3,Wed,2,0.639469524258427
HB_SOUTH,3,Wed,3,0.612689220863755
HB_SOUTH,3,Wed,4,0.618819960817133
HB_SOUTH,3,Wed,5,0.680435179930163
HB_SOUTH,3,Wed,6,0.830830696024959
HB_SOUTH,3,Wed,7,1.41243013938455
HB_SOUTH,3,Wed,8,1.21709296471939
HB_SOUTH,3,Wed,9,1.01996017584193
HB_SOUTH,3,Wed,10,1.03204209432746
HB_SOUTH,3,Wed,11,1.03070820948405
HB_SOUTH,3,Wed,12,1.02124275742214
HB_SOUTH,3,Wed,13,1.02283315858159
HB_SOUTH,3,Wed,14,1.09381122323012
HB_SOUTH,3,Wed,15,1.12992872052868
HB_SOUTH,3,Wed,16,1.19241609511625
HB_SOUTH,3,Wed,17,1.23774252816068
HB_SOUTH,3,Wed,18,1.1519634720766
HB_SOUTH,3,Wed,19,1.35094317842954
HB_SOUTH,3,Wed,20,1.25095311843679
HB_SOUTH,3,Wed,21,1.15306649223557
HB_SOUTH,3,Wed,22,0.945185669716004
HB_SOUTH,3,Wed,23,0.876541903543452
HB_SOUTH,3,Wed,24,0.769651554649198
HB_SOUTH,3,Thu,1,0.718196376108036
HB_SOUTH,3,Thu,2,0.62720819095414
HB_SOUTH,3,Thu,3,0.574451183375995
HB_SOUTH,3,Thu,4,0.58242021511342
HB_SOUTH,3,Thu,5,0.648568222225024
HB_SOUTH,3,Thu,6,0.776703191395463
HB_SOUTH,3,Thu,7,1.18995801127265
HB_SOUTH,3,Thu,8,1.12320476124428
HB_SOUTH,3,Thu,9,1.01963256711261
HB_SOUTH,3,Thu,10,1.03072868725333
HB_SOUTH,3,Thu,11,1.02775290957923
HB_SOUTH,3,Thu,12,1.03451145548312
HB_SOUTH,3,Thu,13,1.02961907523926
HB_SOUTH,3,Thu,14,1.08474661757474
HB_SOUTH,3,Thu,15,1.13162772516928
HB_SOUTH,3,Thu,16,1.21177197473111
HB_SOUTH,3,Thu,17,1.3268690027362
HB_SOUTH,3,Thu,18,1.24732999609114
HB_SOUTH,3,Thu,19,1.42116080547745
HB_SOUTH,3,Thu,20,1.34946473829549
HB_SOUTH,3,Thu,21,1.21699219488822
HB_SOUTH,3,Thu,22,0.967228617902581
HB_SOUTH,3,Thu,23,0.890564515112159
HB_SOUTH,3,Thu,24,0.769288965665074
HB_SOUTH,3,Fri,1,0.718055689682923
