SettlementPoint,month,day_of_week,hr,Normalized_Hour_Average
LZ_AEN,1,Fri,1,0.794450819696819
LZ_AEN,1,Fri,2,0.741561324405972
LZ_AEN,1,Fri,3,0.747223753286769
LZ_AEN,1,Fri,4,0.768668696707659
LZ_AEN,1,Fri,5,0.833485435811248
LZ_AEN,1,Fri,6,0.980274868755139
LZ_AEN,1,Fri,7,1.60222641884505
LZ_AEN,1,Fri,8,1.41587227006171
LZ_AEN,1,Fri,9,1.16708683093734
LZ_AEN,1,Fri,10,1.08836702177324
LZ_AEN,1,Fri,11,1.0345859951267
LZ_AEN,1,Fri,12,0.975672639324364
LZ_AEN,1,Fri,13,0.925433642658571
LZ_AEN,1,Fri,14,0.891194019511284
LZ_AEN,1,Fri,15,0.860809667091349
LZ_AEN,1,Fri,16,0.845292202413761
LZ_AEN,1,Fri,17,0.885435208862304
LZ_AEN,1,Fri,18,1.30768373527543
LZ_AEN,1,Fri,19,1.32416501763485
LZ_AEN,1,Fri,20,1.09653537662682
LZ_AEN,1,Fri,21,1.02094797492869
LZ_AEN,1,Fri,22,0.97557625755618
LZ_AEN,1,Fri,23,0.88444729573842
LZ_AEN,1,Fri,24,0.83300352697033
LZ_AEN,1,Sat,1,0.882778557652655
LZ_AEN,1,Sat,2,0.817646740285004
LZ_AEN,1,Sat,3,0.78753014783373
LZ_AEN,1,Sat,4,0.782431571186377
LZ_AEN,1,Sat,5,0.824744758754848
LZ_AEN,1,Sat,6,0.892675794673987
LZ_AEN,1,Sat,7,1.07390020286003
LZ_AEN,1,Sat,8,1.18404445425652
LZ_AEN,1,Sat,9,1.37789033894704
LZ_AEN,1,Sat,10,1.32720448874689
LZ_AEN,1,Sat,11,1.15400284087359
LZ_AEN,1,Sat,12,1.06200352401621
LZ_AEN,1,Sat,13,0.956882870198736
LZ_AEN,1,Sat,14,0.894450299291448
LZ_AEN,1,Sat,15,0.867882716075096
LZ_AEN,1,Sat,16,0.849362886194271
LZ_AEN,1,Sat,17,0.873381181086947
LZ_AEN,1,Sat,18,1.17927078690532
LZ_AEN,1,Sat,19,1.33727667692769
LZ_AEN,1,Sat,20,1.11918756013946
LZ_AEN,1,Sat,21,1.02518880145959
LZ_AEN,1,Sat,22,0.969854249022148
LZ_AEN,1,Sat,23,0.911120645486468
LZ_AEN,1,Sat,24,0.849287907125927
LZ_AEN,1,Sun,1,0.849596872404339
LZ_AEN,1,Sun,2,0.772631039888086
LZ_AEN,1,Sun,3,0.742704046264434
LZ_AEN,1,Sun,4,0.756043791335411
LZ_AEN,1,Sun,5,0.787769402272003
LZ_AEN,1,Sun,6,0.854518089218913
LZ_AEN,1,Sun,7,1.05453932289552
LZ_AEN,1,Sun,8,1.1602330708268
LZ_AEN,1,Sun,9,1.24931458940939
LZ_AEN,1,Sun,10,1.1982788231547
LZ_AEN,1,Sun,11,1.09610736746126
LZ_AEN,1,Sun,12,1.02463731006789
LZ_AEN,1,Sun,13,0.958363258245224
LZ_AEN,1,Sun,14,0.920892064225627
LZ_AEN,1,Sun,15,0.889441242045178
LZ_AEN,1,Sun,16,0.886518488911649
LZ_AEN,1,Sun,17,0.916595367311379
LZ_AEN,1,Sun,18,1.26859976393148
LZ_AEN,1,Sun,19,1.51803301212193
LZ_AEN,1,Sun,20,1.18918581340594
LZ_AEN,1,Sun,21,1.08968730288591
LZ_AEN,1,Sun,22,1.02521186837619
LZ_AEN,1,Sun,23,0.926837493676736
LZ_AEN,1,Sun,24,0.864260599664008
LZ_AEN,1,Mon,1,0.76431218288581
LZ_AEN,1,Mon,2,0.732227353058549
LZ_AEN,1,Mon,3,0.730585485434126
LZ_AEN,1,Mon,4,0.751177241890428
LZ_AEN,1,Mon,5,0.813613819052506
LZ_AEN,1,Mon,6,0.921999885981415
LZ_AEN,1,Mon,7,1.53484978051422
LZ_AEN,1,Mon,8,1.39558748075936
LZ_AEN,1,Mon,9,1.17284077304601
LZ_AEN,1,Mon,10,1.15277350208084
LZ_AEN,1,Mon,11,1.05380537027535
LZ_AEN,1,Mon,12,0.960948634627444
LZ_AEN,1,Mon,13,0.915044752294624
LZ_AEN,1,Mon,14,0.89114645687247
LZ_AEN,1,Mon,15,0.872743857248732
LZ_AEN,1,Mon,16,0.856051536400433
LZ_AEN,1,Mon,17,0.892241035288752
LZ_AEN,1,Mon,18,1.31481671512457
LZ_AEN,1,Mon,19,1.39467533207913
LZ_AEN,1,Mon,20,1.12992417764096
LZ_AEN,1,Mon,21,1.05198107291488
LZ_AEN,1,Mon,22,0.978598711589989
LZ_AEN,1,Mon,23,0.903984949546776
LZ_AEN,1,Mon,24,0.814069893392623
LZ_AEN,1,Tue,1,0.632492296543735
LZ_AEN,1,Tue,2,0.603906474717249
LZ_AEN,1,Tue,3,0.606156726201922
LZ_AEN,1,Tue,4,0.635676974492382
LZ_AEN,1,Tue,5,0.717219985920037
LZ_AEN,1,Tue,6,0.876320393857576
LZ_AEN,1,Tue,7,1.56628945289966
LZ_AEN,1,Tue,8,1.50175681710191
LZ_AEN,1,Tue,9,1.22188655617762
LZ_AEN,1,Tue,10,1.15285341741053
LZ_AEN,1,Tue,11,1.0141387623299
LZ_AEN,1,Tue,12,0.94577307103707
LZ_AEN,1,Tue,13,0.90315178232313
LZ_AEN,1,Tue,14,0.876492023208102
LZ_AEN,1,Tue,15,0.849336445969333
LZ_AEN,1,Tue,16,0.850022963371436
LZ_AEN,1,Tue,17,0.899166167405362
LZ_AEN,1,Tue,18,1.46344533207896
LZ_AEN,1,Tue,19,1.63530352173892
LZ_AEN,1,Tue,20,1.24452256051921
LZ_AEN,1,Tue,21,1.09919064047942
LZ_AEN,1,Tue,22,1.0013428407518
LZ_AEN,1,Tue,23,0.884596742538493
LZ_AEN,1,Tue,24,0.818958050926242
LZ_AEN,1,Wed,1,0.575447078675544
LZ_AEN,1,Wed,2,0.552318225280159
LZ_AEN,1,Wed,3,0.558741231503388
LZ_AEN,1,Wed,4,0.579563230550994
LZ_AEN,1,Wed,5,0.687683835308693
LZ_AEN,1,Wed,6,1.05418720449711
LZ_AEN,1,Wed,7,3.43832871166708
LZ_AEN,1,Wed,8,3.46649344318115
LZ_AEN,1,Wed,9,1.59001066731667
LZ_AEN,1,Wed,10,0.899869202866229
LZ_AEN,1,Wed,11,0.844881635504449
LZ_AEN,1,Wed,12,0.766523975076927
LZ_AEN,1,Wed,13,0.728001015216946
LZ_AEN,1,Wed,14,0.690216851847431
LZ_AEN,1,Wed,15,0.654558613072928
LZ_AEN,1,Wed,16,0.644501934314961
LZ_AEN,1,Wed,17,0.669032993294291
LZ_AEN,1,Wed,18,0.948750391072122
LZ_AEN,1,Wed,19,1.02855548952178
LZ_AEN,1,Wed,20,0.840795638587793
LZ_AEN,1,Wed,21,0.789652828472312
LZ_AEN,1,Wed,22,0.727141598891303
LZ_AEN,1,Wed,23,0.662021965374569
LZ_AEN,1,Wed,24,0.602722238905174
LZ_AEN,1,Thu,1,0.72437292770436
LZ_AEN,1,Thu,2,0.689452255830633
LZ_AEN,1,Thu,3,0.694910625465049
LZ_AEN,1,Thu,4,0.72430845877167
