SettlementPoint,month,day_of_week,hr,Normalized_Hour_Average
LZ_RAYBN,1,Fri,1,0.816820164361554
LZ_RAYBN,1,Fri,2,0.764444134796556
LZ_RAYBN,1,Fri,3,0.761468782882301
LZ_RAYBN,1,Fri,4,0.78696828647803
LZ_RAYBN,1,Fri,5,0.853089950093185
LZ_RAYBN,1,Fri,6,0.99271018289603
LZ_RAYBN,1,Fri,7,1.62122253767601
LZ_RAYBN,1,Fri,8,1.44110309327995
LZ_RAYBN,1,Fri,9,1.17307552414451
LZ_RAYBN,1,Fri,10,1.07744623823921
LZ_RAYBN,1,Fri,11,1.02450464591366
LZ_RAYBN,1,Fri,12,0.955137143846585
LZ_RAYBN,1,Fri,13,0.900843118832728
LZ_RAYBN,1,Fri,14,0.866270021382781
LZ_RAYBN,1,Fri,15,0.83550832514531
LZ_RAYBN,1,Fri,16,0.827442908386005
LZ_RAYBN,1,Fri,17,0.868778169277442
LZ_RAYBN,1,Fri,18,1.28859786541041
LZ_RAYBN,1,Fri,19,1.32641680131227
LZ_RAYBN,1,Fri,20,1.09920810967819
LZ_RAYBN,1,Fri,21,1.00736563530013
LZ_RAYBN,1,Fri,22,0.976653118433145
LZ_RAYBN,1,Fri,23,0.888892531805221
LZ_RAYBN,1,Fri,24,0.846032710428793
LZ_RAYBN,1,Sat,1,0.891614499697265
LZ_RAYBN,1,Sat,2,0.826463790244031
LZ_RAYBN,1,Sat,3,0.795859636191329
LZ_RAYBN,1,Sat,4,0.791866691236476
LZ_RAYBN,1,Sat,5,0.838644799536684
LZ_RAYBN,1,Sat,6,0.894596572511649
LZ_RAYBN,1,Sat,7,1.06874457051096
LZ_RAYBN,1,Sat,8,1.1825940453313
LZ_RAYBN,1,Sat,9,1.37898123042093
LZ_RAYBN,1,Sat,10,1.31451285966252
LZ_RAYBN,1,Sat,11,1.14119883117909
LZ_RAYBN,1,Sat,12,1.0492094663964
LZ_RAYBN,1,Sat,13,0.943421696896307
LZ_RAYBN,1,Sat,14,0.882365019611972
LZ_RAYBN,1,Sat,15,0.859974201700582
LZ_RAYBN,1,Sat,16,0.84137415431595
LZ_RAYBN,1,Sat,17,0.868414984073499
LZ_RAYBN,1,Sat,18,1.16460052123095
LZ_RAYBN,1,Sat,19,1.33091426014163
LZ_RAYBN,1,Sat,20,1.1179487719483
LZ_RAYBN,1,Sat,21,1.02803169505357
LZ_RAYBN,1,Sat,22,0.976982651959881
LZ_RAYBN,1,Sat,23,0.932150472530076
LZ_RAYBN,1,Sat,24,0.879534577618659
LZ_RAYBN,1,Sun,1,0.869362689237244
LZ_RAYBN,1,Sun,2,0.79872868788226
LZ_RAYBN,1,Sun,3,0.764086057090406
LZ_RAYBN,1,Sun,4,0.776849131592668
LZ_RAYBN,1,Sun,5,0.81024292926297
LZ_RAYBN,1,Sun,6,0.883524456835644
LZ_RAYBN,1,Sun,7,1.05558868432309
LZ_RAYBN,1,Sun,8,1.17342857767274
LZ_RAYBN,1,Sun,9,1.24765921841779
LZ_RAYBN,1,Sun,10,1.19196126119657
LZ_RAYBN,1,Sun,11,1.09083075501328
LZ_RAYBN,1,Sun,12,1.0226944199014
LZ_RAYBN,1,Sun,13,0.957655190930974
LZ_RAYBN,1,Sun,14,0.920115267297119
LZ_RAYBN,1,Sun,15,0.885197893218524
LZ_RAYBN,1,Sun,16,0.878878797623471
LZ_RAYBN,1,Sun,17,0.904230109990977
LZ_RAYBN,1,Sun,18,1.25495240384766
LZ_RAYBN,1,Sun,19,1.49283013684089
LZ_RAYBN,1,Sun,20,1.16241386954065
LZ_RAYBN,1,Sun,21,1.06732771566567
LZ_RAYBN,1,Sun,22,1.00138932684773
LZ_RAYBN,1,Sun,23,0.917567647729153
LZ_RAYBN,1,Sun,24,0.872484772041124
LZ_RAYBN,1,Mon,1,0.771614873860601
LZ_RAYBN,1,Mon,2,0.742977667634677
LZ_RAYBN,1,Mon,3,0.739185111377953
LZ_RAYBN,1,Mon,4,0.757625564554361
